usuario,location,latitud,longitud
elCatorange,"Loja, Ecuador",-3.99313,-79.20422
VictorCruzQ,Ecuador,-1.25,-78.25
lis26marbe,"Loja, Ecuador",-3.99313,-79.20422
Maribel43945186,"Loja, Ecuador",-3.99313,-79.20422
erayeray46,"Estambul, Turquía",41.01384,28.94966
JonaPerezAviles,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
fernandomjs,"Loja, Ecuador",-3.99313,-79.20422
Iliana_Natacha,"Loja, Ecuador",-3.99313,-79.20422
chambaandrea52,"Palanda, Zamora Chinchipe, Ecuador",-4.55736,-79.09327
fernancueva,"Loja, Ecuador",-3.99313,-79.20422
JohnsonJar1105,"Loja, Ecuador",-3.99313,-79.20422
_4PY,"Newcastle, Inglaterra, Reino Unido",54.97328,-1.61396
MNoblecilla_E,"El Oro, Ecuador",-3.25861,-79.96053
crearjuan,Ecuador,-1.25,-78.25
silvaniapc,"Loja, Ecuador",-3.99313,-79.20422
rommelbenitez,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
FernadoDuqueM,"Loja, Ecuador",-3.99313,-79.20422
millybelen,"Loja, Ecuador",-3.99313,-79.20422
geovannyps23,"Loja, Ecuador",-3.99313,-79.20422
jorgearias1975,Ecuador,-1.25,-78.25
PROMOMAN2011,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
willburn,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
AsesorPopular,"Loja, Ecuador",-3.99313,-79.20422
TostadoSam,"Loja, Ecuador",-3.99313,-79.20422
osita2688,"Chaguarpamba, Loja, Ecuador",-3.85595,-79.67225
EphraimJimbo28,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
lilapastory,"Las Lajas, El Oro, Ecuador",-3.80555,-80.0585
KarenEl93243437,"Loja, Ecuador",-3.99313,-79.20422
cpcubo,"Loja, Ecuador",-3.99313,-79.20422
vanessaj1984,"Zamora, Zamora Chinchipe, Ecuador",-4.25,-78.83333
yhois,Ecuador,-1.25,-78.25
DiegoJavierAba2,Ecuador,-1.25,-78.25
FRANKLI54540315,"Loja, Ecuador",-3.99313,-79.20422
bridanj,Ecuador,-1.25,-78.25
smgb78,"Guizhaguiña, Zaruma, El Oro, Ecuador",-3.65593,-79.4711
eellvviis19,"Loja, Ecuador",-3.99313,-79.20422
mgcordova85,"San Pedro de la Bendita, Catamayo, Loja, Ecuador",-3.96367,-79.44903
mmserranoc,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
rodculcay,"Loja, Ecuador",-3.99313,-79.20422
TmMagno,"Palanda, Zamora Chinchipe, Ecuador",-4.55736,-79.09327
panchobuele,"Piñas, El Oro, Ecuador",-3.68107,-79.68083
merinode,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
Municipio_Manta,"Manta, Manabí, Ecuador",-0.96212,-80.71271
carlosjaya81,Ecuador,-1.25,-78.25
AngelEsportega,"Loja, Ecuador",-3.99313,-79.20422
NinabandaJuanCa,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
Consu_Roblez,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
AnthonyVegaCorr,"Zamora, Zamora Chinchipe, Ecuador",-4.25,-78.83333
MAEZamoraCh,"Zamora, Zamora Chinchipe, Ecuador",-4.25,-78.83333
FredySarango1,"Loja, Ecuador",-3.99313,-79.20422
markoIII74,"Loja, Ecuador",-3.99313,-79.20422
johan_loor,Ecuador,-1.25,-78.25
rcloja,"Loja, Ecuador",-3.99313,-79.20422
juancarlosveint,"Loja, Ecuador",-3.99313,-79.20422
Shirley83658693,"Salinas, Santa Elena, Ecuador",-2.21452,-80.95151
huanin_alex,"Santo Domingo de los Tsáchilas, Ecuador",-0.25305,-79.17536
exonol,México,23,-102
RubyOjeda6,"Loja, Ecuador",-3.99313,-79.20422
JennG_89,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
RolandGonzalz,"Loja, Ecuador",-3.99313,-79.20422
jgaiborc,"Cariamanga, Loja, Ecuador",-4.32796,-79.55554
cfernandopc,Ecuador,-1.25,-78.25
amarillo_x100pr,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
jsamaniego21,"Loja, Ecuador",-3.99313,-79.20422
