usuario,location,latitud,longitud
PabloAlexanderv,"Loja, Ecuador",-3.99313,-79.20422
Rronik,Ecuador,-1.25,-78.25
sebasti41607976,"Zamora, Zamora Chinchipe, Ecuador",-4.25,-78.83333
KEFREN_7,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
VicheRodriguez,"Loja, Ecuador",-3.99313,-79.20422
JudithLoja,"Cuenca, Azuay, Ecuador",-2.90055,-79.00453
AyenJc,"Loja, Ecuador",-3.99313,-79.20422
mariajo_mn,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
JXMorenoM,"Arenillas, El Oro, Ecuador",-3.55,-80.06667
Nati_egg,"Loja, Ecuador",-3.99313,-79.20422
anitapuertas12,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
dalicho092,"Loja, Ecuador",-3.99313,-79.20422
FarinangoJulio,"Loja, Ecuador",-3.99313,-79.20422
kamaradaDavid,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
AntiMonopolioZ6,"Cuenca, Azuay, Ecuador",-2.90055,-79.00453
YTejidos,"Loja, Ecuador",-3.99313,-79.20422
martinabenede,Ecuador,-1.25,-78.25
ullauri_carmen,"Loja, Ecuador",-3.99313,-79.20422
ojoshul,"Cobourg, Ontario, Canadá",43.95977,-78.16515
JudithBBoling,"San Joaquin Valley, California, Estados Unidos",37.65632,-121.48717
salexanderamos,"Loja, Ecuador",-3.99313,-79.20422
jounna21_,"Loja, Ecuador",-3.99313,-79.20422
JosSamaniego10,"Loja, Ecuador",-3.99313,-79.20422
21andrearv,"Loja, Ecuador",-3.99313,-79.20422
Juand_ps,Ecuador,-1.25,-78.25
sweet_skin,"Viña del Mar, Chile",-33.02457,-71.55183
ROSA89130643,"Atahualpa, El Oro, Ecuador",-3.54638,-79.71621
JhonatanFrancoC,"Loja, Ecuador",-3.99313,-79.20422
MarisaFaller,"Loja, Ecuador",-3.99313,-79.20422
Neloseb,"Loja, Ecuador",-3.99313,-79.20422
youngruin,"Loja, Ecuador",-3.99313,-79.20422
MarVinCapelo,"Cuenca, Azuay, Ecuador",-2.90055,-79.00453
yosoyDaFe,"Loja, Ecuador",-3.99313,-79.20422
NonoBoegas,"Loja, Ecuador",-3.99313,-79.20422
COLEGA17,"Celica, Loja, Ecuador",-4.15536,-80.00725
alexita_vivar,"Loja, Ecuador",-3.99313,-79.20422
HolgerTene,"Loja, Ecuador",-3.99313,-79.20422
josehebu,"Loja, Ecuador",-3.99313,-79.20422
orlandysimo,"Olavarría, Buenos Aires, Argentina",-36.89272,-60.32254
luismivaldez,"Catacocha, Loja, Ecuador",-4.04974,-79.64944
JoEgRoMy,"Constitución, Chile",-35.33321,-72.41156
raulguevara2011,"Baños, Tungurahua, Ecuador",-1.4,-78.41667
traphater4life,Estados Unidos,-14.60485,-57.65625
jcrutch913,"Tulsa, Oklahoma, Estados Unidos",36.15398,-95.99277
KwameYoung7,"Accra, Ghana",5.55602,-0.1969
THE_DJ_MFS,"Amsterdam, Holanda",52.37403,4.88969
escenafutbol,"Loja, Ecuador",-3.99313,-79.20422
Josguaman5,"Loja, Ecuador",-3.99313,-79.20422
LuisLopezEcu,Estados Unidos,-14.60485,-57.65625
carmitavillalt1,"Loja, Ecuador",-3.99313,-79.20422
hendryk_fer,"Loja, Ecuador",-3.99313,-79.20422
Dovegv,"Loja, Ecuador",-3.99313,-79.20422
Tp_LaEstancilla,"Manabí, Ecuador",-0.96212,-80.71271
darmijos27,"Olmedo, Manabí, Ecuador",-1.35249,-80.20926
ElsaCab991,"Paccha, El Oro, Ecuador",-3.56108,-79.66167
f21montes,"Quevedo, Los Ríos, Ecuador",-1.02863,-79.46352
carloxb3,"Loja, Ecuador",-3.99313,-79.20422
flora_urbina,"Costa Rica, Jambelí, El Oro, Ecuador",-3.35385,-80.26158
JaimeLlanes1,Ecuador,-1.25,-78.25
romeromarco201,"Loja, Ecuador",-3.99313,-79.20422
Leidygranda1,"Loja, Ecuador",-3.99313,-79.20422
Alberto67547597,"Alcobendas, Madrid, España",40.54746,-3.64197
PedroMa84487042,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
JURY_GONZALES,"Loja, Ecuador",-3.99313,-79.20422
pedro_cordova__,"Loja, Ecuador",-3.99313,-79.20422
pdbustamante,"Macará, Loja, Ecuador",-4.38181,-79.9437
ANTONIOVELEZLO1,"Manabí, Ecuador",-0.96212,-80.71271
kmigr_,"Loja, Ecuador",-3.99313,-79.20422
radiomix_loja,"Loja, Ecuador",-3.99313,-79.20422
ymlljosejoseec,Ecuador,-1.25,-78.25
Jhonsaoo,"Loja, Ecuador",-3.99313,-79.20422
ITSJuanMontalvo,"Loja, Ecuador",-3.99313,-79.20422
insani_loja,"Loja, Ecuador",-3.99313,-79.20422
ponmelinda12,Ecuador,-1.25,-78.25
BancodeLoja_,"Loja, Ecuador",-3.99313,-79.20422
gabi_soto14,"Loja, Ecuador",-3.99313,-79.20422
Cegarcia65Loja,"Loja, Ecuador",-3.99313,-79.20422
ginobarba76,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
javierchangor,"El Oro, Ecuador",-3.25861,-79.96053
AntiMonopolioEC,Ecuador,-1.25,-78.25
setiasig,"Loja, Ecuador",-3.99313,-79.20422
jakestanner,Estados Unidos,-14.60485,-57.65625
JessicaCorrea24,"Loja, Ecuador",-3.99313,-79.20422
Betsabe_1_,"Loja, Ecuador",-3.99313,-79.20422
edwinferchito,"Loja, Ecuador",-3.99313,-79.20422
kattyCoro,"Loja, Ecuador",-3.99313,-79.20422
JaimBorja,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
RidianC,"Utuana, Calvas, Loja, Ecuador",-4.37486,-79.67684
DefensaEc,Ecuador,-1.25,-78.25
IvonneGarnica,Ecuador,-1.25,-78.25
MarlonM37624880,"Utuana, Calvas, Loja, Ecuador",-4.37486,-79.67684
Diegeins2,"Loja, Ecuador",-3.99313,-79.20422
EscEmelecLoja,"Loja, Ecuador",-3.99313,-79.20422
NicoMarChu,"Utuana, Calvas, Loja, Ecuador",-4.37486,-79.67684
AntiMonopolioZ1,"Esmeraldas, Ecuador",0.9592,-79.65397
aencalada21,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
nobregs,Ecuador,-1.25,-78.25
alain19,"Machala, El Oro, Ecuador",-3.25861,-79.96053
coluchj,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
GlaCoCa,"Manta, Manabí, Ecuador",-0.96212,-80.71271
amorcitopato,"Cuenca, Azuay, Ecuador",-2.90055,-79.00453
AndresInsuasti,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
MineriaEc,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
veritofloressa1,"Loja, Ecuador",-3.99313,-79.20422
antodemelli,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
GabiBustosA,"Loja, Ecuador",-3.99313,-79.20422
Bareclub_ec,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
CelsoLoaiza,"Loja, Ecuador",-3.99313,-79.20422
Jeff_Palacio,"Babahoyo, Los Ríos, Ecuador",-1.80217,-79.53443
Beatriz51088683,"Chillos, Ecuador",-0.26667,-78.48333
1184kelvin,Ecuador,-1.25,-78.25
Allison19A,"Loja, Ecuador",-3.99313,-79.20422
ZamorInclusion,"Zamora, Zamora Chinchipe, Ecuador",-4.25,-78.83333
adrianakgalvez,"Loja, Ecuador",-3.99313,-79.20422
gsgaona7,"Loja, Ecuador",-3.99313,-79.20422
jcjarrin,Ecuador,-1.25,-78.25
LeoBaDonoso,"Cuenca, Azuay, Ecuador",-2.90055,-79.00453
pachakutikloja1,"Loja, Ecuador",-3.99313,-79.20422
PP_Motril,"Motril, Granada, Andalucía, España",36.75066,-3.5179
jmgarmilla,"Granada, Andalucía, España",37.18817,-3.60667
ErnestoDiazMD,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
JanosCalle,Ecuador,-1.25,-78.25
f_gonzalez_m,Ecuador,-1.25,-78.25
arcoscristian82,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
MashiDanny,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
MagisterCharlot,Ecuador,-1.25,-78.25
andres33f,"Loja, Ecuador",-3.99313,-79.20422
Marysachavarria,"Manta, Manabí, Ecuador",-0.96212,-80.71271
rigomicha,"Garden City, Nueva York, Estados Unidos",40.72677,-73.6343
xaviergor04,"Loja, Ecuador",-3.99313,-79.20422
Moniz08,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
Darwinfa,Ecuador,-1.25,-78.25
stalinbarzallo,"Machala, El Oro, Ecuador",-3.25861,-79.96053
cueva_charito,"Loja, Ecuador",-3.99313,-79.20422
fermedi49368101,"Cuenca, Azuay, Ecuador",-2.90055,-79.00453
marcohidalgo31,"Pichincha, Ecuador",-0.22985,-78.52495
silvitamv42,"Guayas, Ecuador",-2,-79.83333
jopama_ec,Ecuador,-1.25,-78.25
Yo_Mandante,Ecuador,-1.25,-78.25
DemocraciaSiEcu,Ecuador,-1.25,-78.25
katicitaOviedo,"Loja, Ecuador",-3.99313,-79.20422
nellyvas2107,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
vi_liss90,"Manabí, Ecuador",-0.96212,-80.71271
JhulyKarolina,"Cuenca, Azuay, Ecuador",-2.90055,-79.00453
joffreveast,"París, Francia",48.85341,2.3488
JoseGarzonB,"Manabí, Ecuador",-0.96212,-80.71271
RicardoCalvas,"Loja, Ecuador",-3.99313,-79.20422
jlrod91,Ecuador,-1.25,-78.25
EDFEPICA,Ecuador,-1.25,-78.25
GerardoPatino10,"Nueva York, Estados Unidos",40.71427,-74.00597
luisevivanco,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
cguerreroabad,"Loja, Ecuador",-3.99313,-79.20422
RadioDibluFM,Ecuador,-1.25,-78.25
dannybdpcse80,"Loja, Ecuador",-3.99313,-79.20422
KxrenAbarca,Ecuador,-1.25,-78.25
rodrigogonzlz95,"Loja, Ecuador",-3.99313,-79.20422
hildapomasan,"Loja, Ecuador",-3.99313,-79.20422
PatricioEsm,Ecuador,-1.25,-78.25
TacaBielerSKC,"San Miguel de Tucumán, Argentina",-26.82414,-65.2226
GiticUnl,"Loja, Ecuador",-3.99313,-79.20422
diegojavier_ey,"Loja, Ecuador",-3.99313,-79.20422
CAROCG83,"Loja, Ecuador",-3.99313,-79.20422
NisaraCueva,Ecuador,-1.25,-78.25
indignadosloja,"Loja, Ecuador",-3.99313,-79.20422
claudia_ramon,"Loja, Ecuador",-3.99313,-79.20422
lojadelfuturo,"Loja, Ecuador",-3.99313,-79.20422
gersonZaragocin,"Loja, Ecuador",-3.99313,-79.20422
darguevara,"Loja, Ecuador",-3.99313,-79.20422
joebladimir,"Zamora, Zamora Chinchipe, Ecuador",-4.25,-78.83333
PiaCarpio,"Loja, Ecuador",-3.99313,-79.20422
HERNANEGUIGUREN,"Cuenca, Azuay, Ecuador",-2.90055,-79.00453
LeonorTapiaC,"Machala, El Oro, Ecuador",-3.25861,-79.96053
jlcorbatin,"Loja, Ecuador",-3.99313,-79.20422
andy_solorock,"Loja, Ecuador",-3.99313,-79.20422
LeonnidasGarces,"Duran, Ecuador",-2.17579,-79.85519
jramirocortez,"Riobamba, Chimborazo, Ecuador",-1.67098,-78.64712
GrilloNegroAV,"Loja, Ecuador",-3.99313,-79.20422
elkyavalos,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
Dn_Pool,Ecuador,-1.25,-78.25
LuisAlf67575959,"Loja, Ecuador",-3.99313,-79.20422
JossCueva,"Loja, Ecuador",-3.99313,-79.20422
faustomongar5,"Loja, Ecuador",-3.99313,-79.20422
dveintimilla_9,"Zamora, Zamora Chinchipe, Ecuador",-4.25,-78.83333
